second,count
1772464728,18
1772464729,19
1772464730,16
1772464731,18
1772464732,19
1772464733,18
1772464734,19
1772464735,18
1772464736,18
1772464737,19
1772464738,18
1772464739,19
1772464740,18
1772464741,18
1772464742,18
1772464743,19
1772464744,18
1772464745,19
1772464746,18
1772464747,19
1772464748,18
1772464749,18
1772464750,19
1772464751,18
1772464752,19
1772464753,17
1772464754,19
1772464755,18
1772464756,19
1772464757,18
1772464758,18
1772464759,19
1772464760,18
1772464761,19
1772464762,18
1772464763,18
1772464764,19
1772464765,18
1772464766,18
1772464767,19
1772464768,18
1772464769,18
1772464770,18
1772464771,19
1772464772,18
1772464773,18
1772464774,18
1772464775,18
1772464776,19
1772464777,18
1772464778,18
1772464779,19
1772464780,19
1772464781,18
1772464782,19
1772464783,18
1772464784,18
1772464785,18
1772464786,19
1772464787,19
1772464788,1
